,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
58,1978,0.341063942622951,0.5389968703427725,247988.14505712863,0.5526574068554402,0.1033829381371087,0.2175235469448581,-11.095111276701433,0.0649612021857923,120.20931942374574,0.5834242921013424,35.2722305017387,2,1
59,1979,0.3014700922549999,0.5635958000000006,250921.54,0.5866963749999992,0.1164265940500001,0.2101602000000003,-10.99109900000001,0.0676112499999999,122.17358300000016,0.6115307000000001,35.797,0,1
60,1980,0.293193448666666,0.5543614215686279,250555.14019607843,0.5945241960784312,0.125473791122549,0.2040417647058824,-10.714379411764703,0.0583068137254902,122.67287058823544,0.5956661274509808,35.02401960784314,0,1
61,1981,0.3058011381159426,0.5424464767616194,249776.82308845577,0.5972255947026484,0.1448817909245376,0.2254276361819089,-10.968303348325811,0.0577422788605696,123.04049275362328,0.5835790604697654,35.28135932033983,9,1
62,1982,0.2968374443270192,0.5600552841475578,247406.36939182453,0.5842664900299099,0.103399178115653,0.1988781655034894,-11.064559820538388,0.0669320538384846,120.89198853439667,0.5815056829511468,35.62113659022931,2,1
63,1983,0.3096167523614582,0.5447401397903143,249454.2980529206,0.5908433849226165,0.1438080897603598,0.1982183724413381,-11.395332501248165,0.0660230154767849,120.84967898152772,0.5689900649026455,36.10683974038942,9,1
64,1984,0.2940501435532238,0.5310491754122934,252347.0004997501,0.5823149575212405,0.1445584793403301,0.1919034482758621,-11.697089955022484,0.0588677661169416,121.1312243878062,0.5505485307346327,37.386806596701646,9,1
65,1985,0.309740670438465,0.5550731439960154,251533.783756851,0.5953022670652727,0.118708717284504,0.1968498754359741,-11.478314897857484,0.0585977080219232,121.22498505231712,0.5642019930244145,36.55655206776283,9,1
66,1986,0.2911183462170238,0.540183972125435,252998.86212045792,0.6110060228969632,0.1152362190990542,0.2112076655052264,-11.22539571926334,0.0647735689397709,120.23899950223988,0.5488968143354926,37.15530114484818,0,1
67,1987,0.3357683852197809,0.5368667832167833,246535.3971028971,0.5615285014985016,0.1069401285664336,0.1976430069930073,-12.005753746253738,0.0572016483516483,120.05755144855146,0.5340429570429558,39.00949050949051,0,1
68,1988,0.3243897419920115,0.538125611582627,255257.02296555167,0.5851814128806803,0.125208638622067,0.2103376435346976,-11.58102596105843,0.0666196704942585,119.93938242636048,0.5463433949076388,38.9136295556665,7,1
