,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
2074,nashville sound,0.6053091200383737,0.5401040911863205,167316.91561058024,0.4203786261514637,0.0823972703178337,0.1767466382067473,-11.863873127697635,0.0474804382008425,116.14690972338208,0.5821340494887509,29.873308787383877,7,1
2075,native american,0.7258958663065328,0.395906419043919,224528.1866846117,0.2593374554766221,0.3740559738995725,0.1456490585340585,-20.5231572355114,0.0642744224756724,111.95285464689626,0.4847280802530803,34.42836638669972,6,0
2076,native american contemporary,0.2646616666666667,0.5971416666666667,201877.82333333333,0.5379876666666666,0.0060489424999999,0.1342353333333333,-11.658735000000002,0.0505125,114.77389666666669,0.6560673333333333,32.45,11,1
2077,native american flute,0.9756634199134196,0.2810984848484849,246750.07251082247,0.129556158008658,0.558141212121212,0.1520938311688311,-23.4118841991342,0.0820390692640692,92.173262987013,0.5579954545454544,37.972943722943725,6,0
2078,native american spiritual,0.994,0.295,123293.0,0.00839,0.6679999999999999,0.119,-28.111,0.0697,171.604,0.407,33.0,10,0
2079,navajo,0.9186363636363634,0.4606493506493506,119807.16883116883,0.1579070779220779,0.3013948051948051,0.1642590909090909,-19.197149350649347,0.0753876623376623,133.26995454545457,0.4927766233766233,16.279220779220775,10,0
2080,nederlandse hardstyle,0.0276789166666666,0.6155520833333333,454760.33333333326,0.90340625,0.36552110625,0.262265625,-5.773093749999999,0.1213052083333333,143.62972916666666,0.3913645833333334,1.3958333333333337,0,1
2081,nederpop,0.1689925178571428,0.5659059523809524,186057.73214285716,0.6929339285714288,0.0712581428095238,0.1616994642857143,-8.882364880952382,0.0545272023809523,125.13057321428572,0.6333345238095237,32.00416666666667,7,1
2082,neo classical metal,0.11291629980889,0.3798349389539253,316176.739143037,0.7948345098108498,0.3045091962315422,0.2869857606942284,-7.580572369426035,0.0672459656605932,127.79704399224532,0.3392572316948893,31.19199200489913,7,0
2083,neo honky tonk,0.912,0.5589999999999999,237271.0,0.3229999999999999,0.853,0.103,-12.553,0.0305,106.057,0.398,13.0,0,1
2084,neo kyma,0.82,0.5660000000000001,158640.0,0.305,0.8049999999999999,0.1205,-14.316,0.03595,118.227,0.4775,33.0,7,0
2085,neo mellow,0.3532028845907469,0.550449889668221,233812.6716404864,0.563525539655907,0.0683950306342053,0.1557177726006653,-8.57827000097417,0.0504747705156968,121.72416154576663,0.4477230395633375,51.75378772887777,0,1
