,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
7864,0.547,Etta James,0.2739999999999999,179693,0.348,0,0.0133,5,0.3339999999999999,-8.631,1,At Last,75,0.0293,87.43,0.3279999999999999,1960
7866,0.878,Sam Cooke,0.5529999999999999,165560,0.291,0,0.0,4,0.129,-10.425999999999998,0,You Send Me,60,0.0301,96.217,0.407,1960
7865,0.8290000000000001,Etta James,0.421,196133,0.285,0,1.55e-06,2,0.233,-9.43,0,A Sunday Kind Of Love,70,0.0293,85.861,0.402,1960
7867,0.961,Ella Fitzgerald,0.611,175840,0.247,0,2.74e-06,7,0.218,-9.038,1,Have Yourself A Merry Little Christmas,66,0.0419,112.239,0.484,1960
7868,0.617,Sam Cooke,0.482,165280,0.569,0,0.0,0,0.155,-5.897,1,Bring It On Home To Me,63,0.0328,70.843,0.609,1960
7869,0.529,Sam Cooke,0.763,129293,0.5710000000000001,0,0.0,11,0.154,-10.552,1,(What A) Wonderful World,60,0.0337,128.211,0.936,1960
7870,0.6990000000000001,Neil Sedaka,0.743,139200,0.799,0,0.0,8,0.0635,-5.466,0,Breaking Up Is Hard to Do,61,0.0375,116.112,0.965,1960
7871,0.7759999999999999,Dean Martin,0.503,133933,0.182,0,0.0,0,0.178,-16.651,0,You're Nobody 'Til Somebody Loves You - Remastered/1997,61,0.0323,63.684,0.652,1960
7872,0.613,Etta James,0.262,187667,0.356,0,0.0,0,0.175,-8.031,0,Stormy Weather,62,0.0303,174.176,0.426,1960
7873,0.1159999999999999,Eddie Cochran,0.7140000000000001,119360,0.8859999999999999,0,0.184,11,0.18,-8.629,0,Summertime Blues,62,0.0554,156.351,0.954,1960
7875,0.772,Etta James,0.642,185627,0.523,0,3.26e-06,3,0.527,-8.579,1,I Just Want To Make Love To You - Single Version,63,0.11,101.635,0.654,1960
8088,0.0987,Chubby Checker,0.604,137360,0.7090000000000001,0,0.0,8,0.0551,-6.377000000000002,1,Let's Twist Again,66,0.158,167.832,0.907,1961
8072,0.937,Henry Mancini,0.39,125585,0.0235,0,0.00128,5,0.099,-19.695,1,Moon River(Vocal Audrey Hepburn),62,0.0345,133.403,0.155,1961
8073,0.312,The Shirelles,0.55,160693,0.382,0,1.11e-05,0,0.221,-6.428999999999999,1,Will You Love Me Tomorrow,61,0.0263,136.128,0.4639999999999999,1961
8074,0.153,Del Shannon,0.594,137307,0.5329999999999999,0,1.49e-05,10,0.172,-7.9929999999999986,0,Runaway,60,0.0438,78.55199999999998,0.7290000000000001,1961
8075,0.951,Stan Getz,0.425,419627,0.0429,0,0.0184,1,0.148,-24.86,1,A Nightingale Sang In Berkeley Square,62,0.0408,96.097,0.255,1961
8075,0.951,Bob Brookmeyer,0.425,419627,0.0429,0,0.0184,1,0.148,-24.86,1,A Nightingale Sang In Berkeley Square,62,0.0408,96.097,0.255,1961
8077,0.377,Roy Orbison,0.57,145533,0.529,0,0.00509,5,0.203,-10.769,1,Only the Lonely,61,0.0279999999999999,123.273,0.934,1961
8071,0.935,Bill Evans Trio,0.395,297320,0.121,0,0.397,9,0.6970000000000001,-23.427,1,My Foolish Heart,62,0.0327,114.521,0.139,1961
8070,0.994,Camille Saint-Saëns,0.211,184707,0.0075599999999999,0,0.89,7,0.0734,-33.123000000000005,1,"Carnival of the Animals, R. 125: The Swan",61,0.0455,118.247,0.0391,1961
8070,0.994,Philippe Entremont,0.211,184707,0.0075599999999999,0,0.89,7,0.0734,-33.123000000000005,1,"Carnival of the Animals, R. 125: The Swan",61,0.0455,118.247,0.0391,1961
8070,0.994,Gaby Casadesus,0.211,184707,0.0075599999999999,0,0.89,7,0.0734,-33.123000000000005,1,"Carnival of the Animals, R. 125: The Swan",61,0.0455,118.247,0.0391,1961
8070,0.994,Yo-Yo Ma,0.211,184707,0.0075599999999999,0,0.89,7,0.0734,-33.123000000000005,1,"Carnival of the Animals, R. 125: The Swan",61,0.0455,118.247,0.0391,1961
8068,0.917,Patsy Cline,0.481,171333,0.0568,0,0.0,10,0.12,-20.508000000000006,1,I Fall To Pieces - Single Version,62,0.0357,111.799,0.505,1961
8068,0.917,The Jordanaires,0.481,171333,0.0568,0,0.0,10,0.12,-20.508000000000006,1,I Fall To Pieces - Single Version,62,0.0357,111.799,0.505,1961
8062,0.941,Elvis Presley,0.396,182360,0.293,0,0.000196,2,0.105,-14.062,1,Can't Help Falling in Love,77,0.0275,100.307,0.3429999999999999,1961
8063,0.451,Dion,0.364,171600,0.607,0,0.0,2,0.251,-9.791,1,Runaround Sue,62,0.125,79.987,0.598,1961
8064,0.931,Patsy Cline,0.471,164573,0.021,0,1.19e-06,10,0.103,-24.385,1,Crazy - Single Version,66,0.0366,107.765,0.356,1961
8064,0.931,The Jordanaires,0.471,164573,0.021,0,1.19e-06,10,0.103,-24.385,1,Crazy - Single Version,66,0.0366,107.765,0.356,1961
8065,0.604,Dean Martin,0.586,147293,0.253,0,0.0,6,0.3,-11.93,0,Ain't That A Kick In The Head,62,0.0538,108.168,0.718,1961
8066,0.7290000000000001,The Marvelettes,0.785,148040,0.7759999999999999,0,0.0,2,0.181,-5.259,1,Please Mr. Postman,66,0.0312,121.505,0.967,1961
8067,0.768,Harry Belafonte,0.594,221704,0.889,0,0.0,5,0.124,-7.775,1,Jump in the Line,61,0.246,116.187,0.8,1961
8262,0.92,Nat King Cole,0.319,192160,0.21,0,8.06e-05,1,0.138,-15.231,1,The Christmas Song (Merry Christmas To You),81,0.0341,78.696,0.209,1962
8263,0.818,Nat King Cole,0.5529999999999999,84987,0.337,0,0.0,10,0.113,-10.334,1,Joy To The World,77,0.03,101.918,0.662,1962
8264,0.753,Nat King Cole,0.499,103747,0.456,0,0.0,0,0.861,-11.528,1,The Happiest Christmas Tree,68,0.4,205.882,0.94,1962
8265,0.57,Ben E. King,0.65,180056,0.306,0,7.07e-06,9,0.0707,-9.443,1,Stand by Me,77,0.0393,118.068,0.605,1962
8266,0.81,Nat King Cole,0.252,180200,0.231,0,0.000167,3,0.1989999999999999,-14.181,1,O Tannenbaum,68,0.0369,89.859,0.196,1962
8267,0.4529999999999999,Frank Sinatra,0.6679999999999999,147000,0.26,0,0.0,7,0.0621,-14.255999999999998,1,Fly Me To The Moon (In Other Words),73,0.0523,119.416,0.368,1962
8267,0.4529999999999999,Count Basie,0.6679999999999999,147000,0.26,0,0.0,7,0.0621,-14.255999999999998,1,Fly Me To The Moon (In Other Words),73,0.0523,119.416,0.368,1962
8268,0.742,Nat King Cole,0.684,68760,0.4370000000000001,0,1.58e-05,9,0.2239999999999999,-10.522,1,Deck The Hall,69,0.0491,107.607,0.964,1962
8269,0.715,Roy Orbison,0.619,178933,0.603,0,0.0,9,0.0721,-9.481,1,"Oh, Pretty Woman",73,0.0342,127.432,0.958,1962
